ecephys_session_id,behavior_session_id,date_of_acquisition,equipment_name,session_type,mouse_id,genotype,sex,project_code,age_in_days,probes_annotated_in_ccf,unit_count,channel_count,structure_acronyms,session_number,novel_image_id,has_lfp
1173189336,1173237009,2022-04-26 21:10:46,NP.1,EPHYS_2,604914,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,DynamicGating_DEV,203,"['probeA', 'probeB', 'probeC', 'probeD', 'probeE', 'probeF']",1758,2304,"['CA2', 'VISrl', 'out of brain', 'ORBm', 'CA1', 'TTd', 'CA3', 'STR', 'MOs', 'AV', 'ILA', 'TRS', 'No Area', 'LGd', 'FRP', 'VL', 'SEZ', 'VPM', 'PL', 'LGv', 'VISp', 'DP', 'SF', 'TH', 'ACAd', 'LSc', 'SSp', 'DG']",2,im114_r-1.0,False
1173741216,1173788279,2022-04-28 23:01:55,NP.1,EPHYS_4,604914,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,DynamicGating_DEV,203,"['probeA', 'probeB', 'probeC', 'probeD', 'probeE', 'probeF']",2262,2304,"['CA2', 'VISrl', 'out of brain', 'ORBm', 'CA1', 'TTd', 'CA3', 'MOs', 'AD', 'ILA', 'No Area', 'LGd', 'VL', 'SEZ', 'VPM', 'PL', 'LGv', 'VISp', 'RT', 'DP', 'SF', 'TH', 'V3', 'ACAd', 'PAL', 'ACAv', 'LSc', 'SSp', 'DG']",4,im087_r-1.0,False
1182427414,1182459075,2022-06-06 15:35:05.429000,NP.1,EPHYS_1,607660,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,DynamicGating_DEV,225,"['probeA', 'probeB', 'probeC', 'probeE', 'probeF']",2267,1920,"['SCsg', 'out of brain', 'TTd', 'MD', 'STR', 'MOs', 'SCop', 'AV', 'ProS', 'ILA', 'No Area', 'MB', 'Track not annotated', 'VL', 'SCiw', 'OLF', 'SEZ', 'SCzo', 'LSr', 'PL', 'SUB', 'VISp', 'DP', 'TH', 'V3', 'ACAd', 'ACAv', 'MRN', 'RSPd', 'LSc', 'SCig', 'DG', 'SSp', 'RSPv']",1,im104_r-1.0,True
1182628226,1182661832,2022-06-07 14:25:34.215000,NP.1,EPHYS_2,607660,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,DynamicGating_DEV,225,"['probeA', 'probeB', 'probeC', 'probeD', 'probeE', 'probeF']",2452,2304,"['VISl', 'CA2', 'IGL', 'MGv', 'PoT', 'APN', 'out of brain', 'CA1', 'SGN', 'CP', 'CA3', 'PIL', 'STR', 'MB', 'No Area', 'PO', 'LGd', 'VL', 'DT', 'MOp', 'LGv', 'LP', 'VISpm', 'VISp', 'RT', 'TH', 'LD', 'RSPagl', 'SCig', 'SSp', 'DG', 'HPF', 'POST', 'POL']",2,im114_r-1.0,True
1182871514,1182899502,2022-06-08 14:18:10.420000,NP.1,EPHYS_3,607660,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,DynamicGating_DEV,225,"['probeA', 'probeB', 'probeC', 'probeD', 'probeE', 'probeF']",2605,2304,"['IGL', 'out of brain', 'CA1', 'TTd', 'MD', 'CP', 'CA3', 'STR', 'MOs', 'AV', 'ProS', 'ILA', 'No Area', 'MB', 'LGd', 'VL', 'OLF', 'LSr', 'PL', 'LGv', 'VISp', 'PPT', 'DP', 'SF', 'VISal', 'TH', 'V3', 'ACAd', 'ACAv', 'MRN', 'RSPd', 'LSc', 'SSp', 'DG', 'RSPv', 'NOT']",3,im005_r-1.0,True
1183071525,1183102079,2022-06-09 14:11:16.580000,NP.1,EPHYS_4,607660,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,DynamicGating_DEV,225,"['probeA', 'probeB', 'probeC', 'probeD', 'probeE', 'probeF']",2375,2304,"['VISl', 'CA2', 'PoT', 'APN', 'out of brain', 'CA1', 'SGN', 'CP', 'CA3', 'STR', 'ProS', 'No Area', 'MB', 'PO', 'LGd', 'VL', 'DT', 'VPM', 'MOp', 'LGv', 'LP', 'VISp', 'RT', 'TH', 'LD', 'RSPagl', 'VISa', 'SSp', 'VISli', 'DG', 'HPF', 'POST', 'POL']",4,im087_r-1.0,True
1177900858,1177960947,2022-05-17 14:49:09.618000,NP.1,EPHYS_1,608671,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,DynamicGating_DEV,222,"['probeC', 'probeD', 'probeE', 'probeF']",1871,1536,"['CA2', 'out of brain', 'CA1', 'CA3', 'STR', 'MOs', 'AV', 'AD', 'ILA', 'No Area', 'Track not annotated', 'VL', 'SEZ', 'LSr', 'PL', 'VISp', 'DP', 'VISal', 'TH', 'ACAd', 'ACAv', 'SSp', 'DG', 'IG']",1,im104_r-1.0,True
1178173272,1178236346,2022-05-18 14:48:48.743000,NP.1,EPHYS_2,608671,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,DynamicGating_DEV,222,"['probeB', 'probeC', 'probeD', 'probeE', 'probeF']",1760,1920,"['SubG', 'IGL', 'out of brain', 'CA1', 'SGN', 'CP', 'CA3', 'LSv', 'STR', 'AV', 'No Area', 'Track not annotated', 'LGd', 'VL', 'SEZ', 'Eth', 'LSr', 'MOp', 'LGv', 'LP', 'SUB', 'BST', 'VISpm', 'VISp', 'SF', 'TH', 'LD', 'SSp', 'DG', 'POST']",2,im114_r-1.0,True
1178460518,1178532134,2022-05-19 14:43:22.978000,NP.1,EPHYS_3,608671,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,DynamicGating_DEV,222,"['probeB', 'probeC', 'probeE', 'probeF']",1969,1536,"['out of brain', 'CA1', 'CA3', 'STR', 'MOs', 'ProS', 'No Area', 'Track not annotated', 'LGd', 'VL', 'SEZ', 'LSr', 'PL', 'LP', 'VISp', 'MS', 'TH', 'ACAd', 'LD', 'VISa', 'ACAv', 'SSp', 'DG', 'VAL']",3,im005_r-1.0,True
1178693650,1178737854,2022-05-20 11:14:02.013000,NP.1,EPHYS_4,608671,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,DynamicGating_DEV,222,"['probeB', 'probeC', 'probeE', 'probeF']",1278,1536,"['IGL', 'out of brain', 'CA1', 'SGN', 'CP', 'CA3', 'No Area', 'PO', 'LGd', 'VL', 'DT', 'MOp', 'LGv', 'LP', 'SUB', 'VISpm', 'VISp', 'SF', 'TH', 'V3', 'LD', 'SSp', 'DG', 'POST', 'POL']",4,im087_r-1.0,True
